product_name,serving_size,fat_100g,fiber_100g,proteins_100g,vitamin-c_100g,sugars_100g
Cheerios,1 cup (28 g),7.14,10.7,10.7,0.0214,3.57
Lentils,35 g (0.25 cup),0,31.4,28.57,0.0069,5.71
Baby Spinach,85 g (2 cup),0,2.4,2.35,0.0282,0
"Instant Oatmeal, Maple & Brown Sugar",43 g (43 GRM),4.65,7,9.3,0.0279,20.93
Kale Crunch,28 g (1 ONZ),21.43,7.1,7.14,0.0429,39.29
Uncured Smoked Ham,56 g (2 oz),3.57,0,21.43,0,1.79
Chicken Quesadilla,113 g (1 PIECE),5.31,5.3,10.62,0.0011,0.88
Organic Green Split Peas,45 g (0.25 cup),1.11,28.9,28.89,0.0027,0
Organic Flax Seed,28 g (3 Tbsp),35.71,21.4,17.86,0,0
Chicken Breast,112 g (4 ONZ),3.12,0,24.11,0.0043,0.89
Cheese Cake Slice,113 g (1 SLICE),21.24,0.9,5.31,0.0032,23.01
All Natural Broccoli Florets,Per pound,0,18,8.85,0.273575,18.2125
Fuji Apple,10 g (10 GRM),0,20,0,0.012,60
